name;source;description;special_remark;category_1;category_2
electricity supply;;Electricity supply for battery charging batteries of electric vehicles. The electricity supplier in this dataset can be changed by any other electricity supplier, in low voltage.;;transport;Road\Transformation\Infrastructure
electricity market for fuel;;Electricity mix used to operate electrolysis for hydrogen production, manufacture synthetic fuels, or charge batteries.;;transport;Road\Transformation\Infrastructure
electricity market for energy storage;;Electricity mix used to manufacture lithium-ion battery cells.;;transport;Road\Transformation\Infrastructure
Ni3/5Co1/5Mn1/5(OH)2;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
LTO electrode material (Li4Ti5O12);Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
Battery cell, LTO;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
Carbon fiber, weaved, at factory;Benitez A, Wulf C, de Palmenaer A, Lengersdorf M, Röding T, Grube T, et al. Ecological assessment of fuel cell electric vehicles with special focus on type IV carbon fiber hydrogen tank. J Clean Prod 2021, 278:123277. https://doi.org/10.1016/j.jclepro.2020.123277.;1 kg of finished carbon fiber Toray T700 G. Carbon fiber manufacturing. Source: based on Ellringmann et al. (2016), Gill et al. (2016), Mützel (2012).;;transport;Road\Vehicle components\Energy storage\Hydrogen tank
Dimethyl sulfoxide production (DMSO);Benitez A, Wulf C, de Palmenaer A, Lengersdorf M, Röding T, Grube T, et al. Ecological assessment of fuel cell electric vehicles with special focus on type IV carbon fiber hydrogen tank. J Clean Prod 2021, 278:123277. https://doi.org/10.1016/j.jclepro.2020.123277.;;;transport;Road\Vehicle components\Energy storage\Hydrogen tank
Exhaust gas treatment 1;Benitez A, Wulf C, de Palmenaer A, Lengersdorf M, Röding T, Grube T, et al. Ecological assessment of fuel cell electric vehicles with special focus on type IV carbon fiber hydrogen tank. J Clean Prod 2021, 278:123277. https://doi.org/10.1016/j.jclepro.2020.123277.;;;transport;Road\Vehicle components\Energy storage\Hydrogen tank
Exhaust gas treatment 2;Benitez A, Wulf C, de Palmenaer A, Lengersdorf M, Röding T, Grube T, et al. Ecological assessment of fuel cell electric vehicles with special focus on type IV carbon fiber hydrogen tank. J Clean Prod 2021, 278:123277. https://doi.org/10.1016/j.jclepro.2020.123277.;;;transport;Road\Vehicle components\Energy storage\Hydrogen tank
Fiber carbonization (high temp);Benitez A, Wulf C, de Palmenaer A, Lengersdorf M, Röding T, Grube T, et al. Ecological assessment of fuel cell electric vehicles with special focus on type IV carbon fiber hydrogen tank. J Clean Prod 2021, 278:123277. https://doi.org/10.1016/j.jclepro.2020.123277.;;;transport;Road\Vehicle components\Energy storage\Hydrogen tank
Fiber carbonization (low temp);Benitez A, Wulf C, de Palmenaer A, Lengersdorf M, Röding T, Grube T, et al. Ecological assessment of fuel cell electric vehicles with special focus on type IV carbon fiber hydrogen tank. J Clean Prod 2021, 278:123277. https://doi.org/10.1016/j.jclepro.2020.123277.;;;transport;Road\Vehicle components\Energy storage\Hydrogen tank
Fiber coagulation;Benitez A, Wulf C, de Palmenaer A, Lengersdorf M, Röding T, Grube T, et al. Ecological assessment of fuel cell electric vehicles with special focus on type IV carbon fiber hydrogen tank. J Clean Prod 2021, 278:123277. https://doi.org/10.1016/j.jclepro.2020.123277.;;;transport;Road\Vehicle components\Energy storage\Hydrogen tank
Fiber drying;Benitez A, Wulf C, de Palmenaer A, Lengersdorf M, Röding T, Grube T, et al. Ecological assessment of fuel cell electric vehicles with special focus on type IV carbon fiber hydrogen tank. J Clean Prod 2021, 278:123277. https://doi.org/10.1016/j.jclepro.2020.123277.;;;transport;Road\Vehicle components\Energy storage\Hydrogen tank
Fiber drying 2;Benitez A, Wulf C, de Palmenaer A, Lengersdorf M, Röding T, Grube T, et al. Ecological assessment of fuel cell electric vehicles with special focus on type IV carbon fiber hydrogen tank. J Clean Prod 2021, 278:123277. https://doi.org/10.1016/j.jclepro.2020.123277.;;;transport;Road\Vehicle components\Energy storage\Hydrogen tank
Fiber drying 3;Benitez A, Wulf C, de Palmenaer A, Lengersdorf M, Röding T, Grube T, et al. Ecological assessment of fuel cell electric vehicles with special focus on type IV carbon fiber hydrogen tank. J Clean Prod 2021, 278:123277. https://doi.org/10.1016/j.jclepro.2020.123277.;;;transport;Road\Vehicle components\Energy storage\Hydrogen tank
Fiber electrolysis;Benitez A, Wulf C, de Palmenaer A, Lengersdorf M, Röding T, Grube T, et al. Ecological assessment of fuel cell electric vehicles with special focus on type IV carbon fiber hydrogen tank. J Clean Prod 2021, 278:123277. https://doi.org/10.1016/j.jclepro.2020.123277.;;;transport;Road\Vehicle components\Energy storage\Hydrogen tank
Fiber relaxation;Benitez A, Wulf C, de Palmenaer A, Lengersdorf M, Röding T, Grube T, et al. Ecological assessment of fuel cell electric vehicles with special focus on type IV carbon fiber hydrogen tank. J Clean Prod 2021, 278:123277. https://doi.org/10.1016/j.jclepro.2020.123277.;;;transport;Road\Vehicle components\Energy storage\Hydrogen tank
Fiber sizing;Benitez A, Wulf C, de Palmenaer A, Lengersdorf M, Röding T, Grube T, et al. Ecological assessment of fuel cell electric vehicles with special focus on type IV carbon fiber hydrogen tank. J Clean Prod 2021, 278:123277. https://doi.org/10.1016/j.jclepro.2020.123277.;;;transport;Road\Vehicle components\Energy storage\Hydrogen tank
Fiber sizing 2;Benitez A, Wulf C, de Palmenaer A, Lengersdorf M, Röding T, Grube T, et al. Ecological assessment of fuel cell electric vehicles with special focus on type IV carbon fiber hydrogen tank. J Clean Prod 2021, 278:123277. https://doi.org/10.1016/j.jclepro.2020.123277.;;;transport;Road\Vehicle components\Energy storage\Hydrogen tank
Fiber sizing 3;Benitez A, Wulf C, de Palmenaer A, Lengersdorf M, Röding T, Grube T, et al. Ecological assessment of fuel cell electric vehicles with special focus on type IV carbon fiber hydrogen tank. J Clean Prod 2021, 278:123277. https://doi.org/10.1016/j.jclepro.2020.123277.;;;transport;Road\Vehicle components\Energy storage\Hydrogen tank
Fiber stabilization;Benitez A, Wulf C, de Palmenaer A, Lengersdorf M, Röding T, Grube T, et al. Ecological assessment of fuel cell electric vehicles with special focus on type IV carbon fiber hydrogen tank. J Clean Prod 2021, 278:123277. https://doi.org/10.1016/j.jclepro.2020.123277.;;;transport;Road\Vehicle components\Energy storage\Hydrogen tank
Fiber stretching and washing;Benitez A, Wulf C, de Palmenaer A, Lengersdorf M, Röding T, Grube T, et al. Ecological assessment of fuel cell electric vehicles with special focus on type IV carbon fiber hydrogen tank. J Clean Prod 2021, 278:123277. https://doi.org/10.1016/j.jclepro.2020.123277.;;;transport;Road\Vehicle components\Energy storage\Hydrogen tank
Fiber unwinding;Benitez A, Wulf C, de Palmenaer A, Lengersdorf M, Röding T, Grube T, et al. Ecological assessment of fuel cell electric vehicles with special focus on type IV carbon fiber hydrogen tank. J Clean Prod 2021, 278:123277. https://doi.org/10.1016/j.jclepro.2020.123277.;;;transport;Road\Vehicle components\Energy storage\Hydrogen tank
Fiber washing;Benitez A, Wulf C, de Palmenaer A, Lengersdorf M, Röding T, Grube T, et al. Ecological assessment of fuel cell electric vehicles with special focus on type IV carbon fiber hydrogen tank. J Clean Prod 2021, 278:123277. https://doi.org/10.1016/j.jclepro.2020.123277.;;;transport;Road\Vehicle components\Energy storage\Hydrogen tank
Fiber winding up;Benitez A, Wulf C, de Palmenaer A, Lengersdorf M, Röding T, Grube T, et al. Ecological assessment of fuel cell electric vehicles with special focus on type IV carbon fiber hydrogen tank. J Clean Prod 2021, 278:123277. https://doi.org/10.1016/j.jclepro.2020.123277.;;;transport;Road\Vehicle components\Energy storage\Hydrogen tank
HDPE tank liner;Benitez A, Wulf C, de Palmenaer A, Lengersdorf M, Röding T, Grube T, et al. Ecological assessment of fuel cell electric vehicles with special focus on type IV carbon fiber hydrogen tank. J Clean Prod 2021, 278:123277. https://doi.org/10.1016/j.jclepro.2020.123277.;;;transport;Road\Vehicle components\Energy storage\Hydrogen tank
Hydrogen refuelling station;Benitez A, Wulf C, de Palmenaer A, Lengersdorf M, Röding T, Grube T, et al. Ecological assessment of fuel cell electric vehicles with special focus on type IV carbon fiber hydrogen tank. J Clean Prod 2021, 278:123277. https://doi.org/10.1016/j.jclepro.2020.123277.;;;transport;Road\Vehicle components\Energy storage\Hydrogen tank
Polyacrylonitrile production (PAN) by polymerisation;Benitez A, Wulf C, de Palmenaer A, Lengersdorf M, Röding T, Grube T, et al. Ecological assessment of fuel cell electric vehicles with special focus on type IV carbon fiber hydrogen tank. J Clean Prod 2021, 278:123277. https://doi.org/10.1016/j.jclepro.2020.123277.;;;transport;Road\Vehicle components\Energy storage\Hydrogen tank
Spinning dope;Benitez A, Wulf C, de Palmenaer A, Lengersdorf M, Röding T, Grube T, et al. Ecological assessment of fuel cell electric vehicles with special focus on type IV carbon fiber hydrogen tank. J Clean Prod 2021, 278:123277. https://doi.org/10.1016/j.jclepro.2020.123277.;;;transport;Road\Vehicle components\Energy storage\Hydrogen tank
high pressure hydrogen storage tank;C. Wulf et al. / Journal of Cleaner Production 199 (2018) 431-443;LCI for a high pressure storage tank per 1 kg hydrogen (Boureima et al., 2011, Das, 2011). Assumed lifetime of 20 years.;;transport;Road\Vehicle components\Energy storage\Hydrogen tank
methanol production facility, construction;Hank et al. 2019, Comparative well-to-wheel life cycle assessment of OME3�5 synfuel production via the power-to-liquid pathway, doi: 10.1039/C9SE00658C (adapted, not in its original form);Methanol production from hydrogen and carbon dioxide. The carbon dioxide is supplied by direct air capture.;;material;Fuels\Synthetic\Infrastructure
Fuel tank, compressed natural gas, 200 bar;Daniele Candelaresi, Antonio Valente, Diego Iribarren, Javier Dufour, Giuseppe Spazzafumo, Comparative life cycle assessment of hydrogen-fuelled passenger cars, International Journal of Hydrogen Energy, 2021, ISSN 0360-3199, https://doi.org/10.1016/j.ijhydene.2021.01.034.;;;transport;Road\Vehicle components\Energy storage\CNG tank
transport, kick scooter;Sacchi, R., Bauer, C., 2021. Life cycle inventories for on-road vehicles.;Cradle-to-grave life cycle inventory of the transport activity using a kick scooter over 1 km.;;transport;Road\Transformation
kick scooter;Sacchi, R., Bauer, C., 2021. Life cycle inventories for on-road vehicles.;Cradle-to-grave life cycle inventory of a kick scooter over its lifetime.;;transport;Road\Transformation\Infrastructure
transport, scooter, gasoline;Sacchi, R., Bauer, C., 2021. Life cycle inventories for on-road vehicles.;Cradle-to-grave life cycle inventory of the transport activity using a kick scooter over 1 km.;;transport;Road\Transformation
scooter, gasoline;Sacchi, R., Bauer, C., 2021. Life cycle inventories for on-road vehicles.;Cradle-to-grave life cycle inventory of a kick scooter over its lifetime.;;transport;Road\Transformation\Infrastructure
transport, moped, gasoline;Sacchi, R., Bauer, C., 2021. Life cycle inventories for on-road vehicles.;Cradle-to-grave life cycle inventory of the transport activity using a kick scooter over 1 km.;;transport;Road\Transformation
moped, gasoline;Sacchi, R., Bauer, C., 2021. Life cycle inventories for on-road vehicles.;Cradle-to-grave life cycle inventory of a kick scooter over its lifetime.;;transport;Road\Transformation\Infrastructure
transport, scooter, electric;Sacchi, R., Bauer, C., 2021. Life cycle inventories for on-road vehicles.;Cradle-to-grave life cycle inventory of the transport activity using a kick scooter over 1 km.;;transport;Road\Transformation
scooter, electric;Sacchi, R., Bauer, C., 2021. Life cycle inventories for on-road vehicles.;Cradle-to-grave life cycle inventory of a kick scooter over its lifetime.;;transport;Road\Transformation\Infrastructure
transport, motorbike, gasoline;Sacchi, R., Bauer, C., 2021. Life cycle inventories for on-road vehicles.;Cradle-to-grave life cycle inventory of the transport activity using a kick scooter over 1 km.;;transport;Road\Transformation
motorbike, gasoline;Sacchi, R., Bauer, C., 2021. Life cycle inventories for on-road vehicles.;Cradle-to-grave life cycle inventory of a kick scooter over its lifetime.;;transport;Road\Transformation\Infrastructure
transport, motorbike, electric;Sacchi, R., Bauer, C., 2021. Life cycle inventories for on-road vehicles.;Cradle-to-grave life cycle inventory of the transport activity using a kick scooter over 1 km.;;transport;Road\Transformation
motorbike, electric;Sacchi, R., Bauer, C., 2021. Life cycle inventories for on-road vehicles.;Cradle-to-grave life cycle inventory of a kick scooter over its lifetime.;;transport;Road\Transformation\Infrastructure
transport, bicycle, conventional;Sacchi, R., Bauer, C., 2021. Life cycle inventories for on-road vehicles.;Cradle-to-grave life cycle inventory of the transport activity using a kick scooter over 1 km.;;transport;Road\Transformation
bicycle, conventional;Sacchi, R., Bauer, C., 2021. Life cycle inventories for on-road vehicles.;Cradle-to-grave life cycle inventory of a kick scooter over its lifetime.;;transport;Road\Transformation\Infrastructure
transport, bicycle, electric;Sacchi, R., Bauer, C., 2021. Life cycle inventories for on-road vehicles.;Cradle-to-grave life cycle inventory of the transport activity using a kick scooter over 1 km.;;transport;Road\Transformation
bicycle, electric;Sacchi, R., Bauer, C., 2021. Life cycle inventories for on-road vehicles.;Cradle-to-grave life cycle inventory of a kick scooter over its lifetime.;;transport;Road\Transformation\Infrastructure
transport, bicycle, conventional;Sacchi, R., Bauer, C., 2021. Life cycle inventories for on-road vehicles.;Cradle-to-grave life cycle inventory of the transport activity using a kick scooter over 1 km.;;transport;Road\Transformation
bicycle, conventional;Sacchi, R., Bauer, C., 2021. Life cycle inventories for on-road vehicles.;Cradle-to-grave life cycle inventory of a kick scooter over its lifetime.;;transport;Road\Transformation\Infrastructure
transport, tram;Sacchi, R., Bauer, C., 2021. Life cycle inventories for on-road vehicles.;Cradle-to-grave life cycle inventory of the transport activity using a kick scooter over 1 km.;;transport;Road\Transformation
tram, electric;Sacchi, R., Bauer, C., 2021. Life cycle inventories for on-road vehicles.;Cradle-to-grave life cycle inventory of a kick scooter over its lifetime.;;transport;Road\Transformation\Infrastructure
charging station, 100W;;;;transport;Road\Transformation\Infrastructure
charging station, 500W;;;;transport;Road\Transformation\Infrastructure
charging station, 3kW;;;;transport;Road\Transformation\Infrastructure
